,uuid,id,rank,name,title,country,yes,no,photo,country_flag,date_of_birth,category,context
24,2bdf745e-9d7a-50ee-aaa7-8f016fb8d502,36,25,Tom Brady,Football player,United States,0.07,0.93,https://assets.time.com/assets/poy-2021/tom-brady-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1977-08-03,Sport,
25,d0e2140b-2ff8-565b-8961-85f70f17c022,14,26,Narendra Modi,Prime Minister of India,India,0.07,0.93,https://assets.time.com/assets/poy-2021/narendra-modi-poy-poll-2021.jpg,https://flagcdn.com/in.svg,1950-09-17,Politics,
26,bdd49ec2-393e-5ade-b735-76d599c67c17,34,27,Allyson Felix,Track-and-field athlete,United States,0.06,0.94,https://assets.time.com/assets/poy-2021/Allyson-Felix2-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1985-11-18,Sport,
27,5e52ed88-03e1-58c8-a612-e91f8e7569db,31,28,Giannis Antetokounmpo,Basketball player,Greece,0.06,0.94,https://assets.time.com/assets/poy-2021/giannis-antetokounmpo-poy-poll-2021.jpg,https://flagcdn.com/gr.svg,1994-12-06,Sport,
28,f58655bf-8365-588a-ad29-04992a307d26,54,29,Billie Eilish,Artist,United States,0.06,0.94,https://assets.time.com/assets/poy-2021/billie-eillish-poy-poll-2021.jpg,https://flagcdn.com/us.svg,2001-12-18,Arts and Entertainment,
29,1952269e-1b95-53b7-a35b-a032fcd9b3e3,49,30,Joe Rogan,Podcast host,United States,0.06,0.94,https://assets.time.com/assets/poy-2021/joe-rogan-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1967-08-11,Arts and Entertainment,
30,1a6d7316-29cf-5f55-b822-20db2e4fae27,35,31,Kyrie Irving,Basketball player,United States,0.06,0.94,https://assets.time.com/assets/poy-2021/kyrie-irving-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1992-03-23,Sport,
31,10a84c89-0c0a-57ea-9180-4daface3e9fd,19,32,Naftali Bennett,Prime Minister of Israel,Israel,0.05,0.95,https://assets.time.com/assets/poy-2021/naftali-bennett-poy-poll-2021.jpg,https://flagcdn.com/il.svg,1972-03-25,Politics,
32,3d9aef64-4a7b-5fc6-a695-6276ea6448f2,51,33,Chloé Zhao,Director,United States,0.05,0.95,https://assets.time.com/assets/poy-2021/chloe-zhao-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1982-03-31,Arts and Entertainment,
33,381a3651-36c0-53d7-8bc4-c4b491b2c2d9,23,34,Frances Haugen,Facebook whistle-blower,United States,0.05,0.95,https://assets.time.com/assets/poy-2021/frances-haugen-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1983-01-01,Society,
34,a3a42016-3b15-57b7-bf6b-c5d8ee39d937,52,35,Shonda Rhimes,Producer,United States,0.04,0.96,https://assets.time.com/assets/poy-2021/shonda-rhimes-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1970-01-13,Arts and Entertainment,
35,d36f7595-0706-571f-b9d6-787ae9a7dc10,48,36,Hwang Dong-hyuk,Director,South Korea,0.04,0.96,https://assets.time.com/assets/poy-2021/hwang-dong-hyuk-poy-poll-2021.jpg,https://flagcdn.com/kr.svg,1971-05-26,Arts and Entertainment,
36,82463184-f18d-531e-8881-4f2af9081018,46,37,Olivia Rodrigo,Artist,United States,0.04,0.96,https://assets.time.com/assets/poy-2021/olivia-rodrigo-poy-poll-2021.jpg,https://flagcdn.com/us.svg,2003-02-20,Arts and Entertainment,
37,e1774363-5119-5b4e-afe3-4ae2c0a29652,10,38,Nancy Pelosi,Speaker of the House of Representatives,United States,0.04,0.96,https://assets.time.com/assets/poy-2021/nancy-pelosi-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1940-03-26,Politics,
38,84b91fd2-8fd9-5b8a-b81a-438b684aa7ff,37,39,Shohei Ohtani,Baseball player,Japan,0.04,0.96,https://assets.time.com/assets/poy-2021/shohei-ohtani-poy-poll-2021.jpg,https://flagcdn.com/jp.svg,1994-07-05,Sport,
39,00e71477-448b-570d-886c-232b9692e849,04,40,Liz Cheney,"U.S. Representative (R., Wyo.)",United States,0.04,0.96,https://assets.time.com/assets/poy-2021/liz-cheney-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1966-07-28,Politics,
40,f6c553a5-c2e2-56e1-9105-f7df7c857205,30,41,MacKenzie Scott,Philanthropist,United States,0.04,0.96,https://assets.time.com/assets/poy-2021/Mackenzie-Scott-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1970-04-07,Philanthropy,
41,77a3f6fe-3b3a-5e5f-97f5-b2396cf6edf2,26,42,Ted Sarandos,CEO of Netflix,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/ted-sarandos-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1964-07-30,Technology,
42,75788108-3b9d-5c28-a098-ad96f3ceb5d9,43,43,John Kerry,U.S. special presidential envoy for climate,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/john-kerry-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1943-12-11,Politics,
43,829b3102-3616-5423-af80-3016635a7802,39,44,Rochelle Walensky,Director of the CDC,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/rochelle-walensky-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1969-04-05,Science,
44,0091ce90-b805-562a-88a1-1dd267bbf524,05,45,Ben Crump,Attorney,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/benjamin-crump-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1969-10-10,Society,
45,24c84992-3d4a-5e5b-95fc-cb40f1cfcad8,12,46,Xi Jinping,President of China,China,0.03,0.97,https://assets.time.com/assets/poy-2021/xi-jinping-poy-poll-2021.jpg,https://flagcdn.com/cn.svg,1953-06-15,Politics,
46,fc97cea5-a52b-516b-ab14-2144a25fcc81,27,47,Shou Zi Chew,CEO of TikTok,China,0.03,0.97,https://assets.time.com/assets/poy-2021/shou-zi-chew-poy-poll-2021.jpg,https://flagcdn.com/cn.svg,1983-01-01,Technology,
47,2d8e9bf4-3ed8-5e68-abd5-d651559d62d7,25,48,Mark Zuckerberg,CEO of Facebook,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/mark-zuckerberg-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1984-05-14,Technology,
48,34494c5a-74f6-5b59-b533-d90208b4769e,29,49,Jensen Huang,CEO of NVIDIA,United States,0.03,0.97,https://assets.time.com/assets/poy-2021/Jensen-Huang-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1963-02-17,Technology,
49,14806798-c0ad-5fd0-9b14-53b795bf41a2,08,50,Chuck Schumer,Senate majority leader,United States,0.02,0.98,https://assets.time.com/assets/poy-2021/chuck-schumer-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1950-11-23,Politics,
50,2878f06a-0dd4-5362-b9c7-cd05a9435be9,09,51,Mitch McConnell,Senate minority leader,United States,0.02,0.98,https://assets.time.com/assets/poy-2021/mitch-mcconnell-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1942-02-20,Politics,
51,784e2993-4b1f-5780-99b9-3408b03608b8,02,52,Joe Manchin,"U.S. Senator (D., W.V.)",United States,0.02,0.98,https://assets.time.com/assets/poy-2021/joe-manchin-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1947-08-24,Politics,
52,c78d7b78-f68b-522e-9d27-85d0c5c4f8ba,03,53,Kyrsten Sinema,"U.S. Senator (D., Ariz.)",United States,0.02,0.98,https://assets.time.com/assets/poy-2021/krysten-sinema-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1976-07-12,Politics,
53,62a2e887-08d2-523c-a904-f2ff46522bb9,28,54,Mary Barra,CEO of General Motors,United States,0.02,0.98,https://assets.time.com/assets/poy-2021/Mary-Barra-poy-poll-2021.jpg,https://flagcdn.com/us.svg,1961-12-24,Technology,
